patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,question_simple_trust,question_reflective_trust,time_passed,time_stamp,user_name,user_response_id
1,./mainpage/dataset/test_dir/0-1-patient19377_study4_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.81}""","""{\""0\"": 0.03, \""1\"": 0.03}""",56.90000,0.56602,1,1,1,1,5,0,3,3,3,3,3,3,24,"06/02/2021, 19:45:21",Son of Jack,2864
2,./mainpage/dataset/test_dir/0-1-patient53848_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.027, \""1\"": 0.03}""",99.10000,0.96709,1,1,1,0,1,0,3,3,3,3,3,3,42,"06/02/2021, 19:46:13",Son of Jack,2865
3,./mainpage/dataset/test_dir/0-0-patient12232_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.027, \""1\"": 0.03}""",72.20000,0.71914,1,0,1,0,1,1,2,2,2,2,4,5,30,"06/02/2021, 19:46:52",Son of Jack,2866
3,./mainpage/dataset/test_dir/0-0-patient12232_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.027, \""1\"": 0.03}""",72.20000,0.71914,1,0,1,1,1,1,2,2,2,2,4,5,98,"06/02/2021, 19:48:06",Son of Jack,2866
4,./mainpage/dataset/test_dir/0-1-patient26914_study3_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.69}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",92.30000,0.92062,1,1,1,0,2,0,3,3,3,3,3,3,6,"06/02/2021, 19:49:27",Son of Jack,2867
5,./mainpage/dataset/test_dir/0-0-patient14605_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.69}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",100.00000,0.99767,0,0,1,0,4,0,3,3,3,3,3,3,8,"06/02/2021, 19:50:02",Son of Jack,2868
6,./mainpage/dataset/test_dir/0-0-patient08328_study7_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.69}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",97.10000,0.96001,0,0,0,0,4,1,2,4,1,1,1,2,15,"06/02/2021, 19:50:48",Son of Jack,2869
6,./mainpage/dataset/test_dir/0-0-patient08328_study7_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.69}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",97.10000,0.96001,0,0,0,0,4,1,2,4,1,1,1,2,15,"06/02/2021, 19:50:48",Son of Jack,2869
6,./mainpage/dataset/test_dir/0-0-patient08328_study7_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.69}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",97.10000,0.96001,0,0,0,0,4,1,2,4,1,1,1,2,15,"06/02/2021, 19:50:48",Son of Jack,2869
6,./mainpage/dataset/test_dir/0-0-patient08328_study7_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.69}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",97.10000,0.96001,0,0,0,0,4,1,2,4,1,1,1,2,16,"06/02/2021, 19:50:48",Son of Jack,2869
