patient_num,patient_filename,accuracy,calibration,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient28534_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.715}""","""{\""0\"": 0.05, \""1\"": 0.05}""",1,0,1,1,3,0,3,3,3,3,6,"12/03/2020, 02:08:44",jack
2,./mainpage/dataset/test_dir/0-1-patient48944_study1_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.77}""","""{\""0\"": 0.052500000000000005, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,9,"12/03/2020, 02:09:14",jack
3,./mainpage/dataset/test_dir/0-0-patient14877_study1_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.705}""","""{\""0\"": 0.04725000000000001, \""1\"": 0.05}""",0,0,0,1,5,1,4,3,3,3,10,"12/03/2020, 02:09:51",jack
4,./mainpage/dataset/test_dir/0-1-patient21830_study10_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.795}""","""{\""0\"": 0.04252500000000001, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,5,"12/03/2020, 02:10:38",jack
5,./mainpage/dataset/test_dir/0-1-patient31413_study4_view1_frontal.jpg,"""{\""0\"": 0.825, \""1\"": 0.755}""","""{\""0\"": 0.03827250000000001, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,5,"12/03/2020, 02:11:58",jack
6,./mainpage/dataset/test_dir/0-1-patient50626_study1_view1_frontal.jpg,"""{\""0\"": 0.78, \""1\"": 0.79}""","""{\""0\"": 0.03444525000000001, \""1\"": 0.05}""",1,1,1,1,3,1,3,2,1,3,27,"12/03/2020, 02:17:01",jack
1,./mainpage/dataset/test_dir/0-0-patient26023_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.74}""","""{\""0\"": 0.05, \""1\"": 0.05}""",0,0,0,1,1,0,3,3,3,3,36,"12/03/2020, 23:28:32",Henry
2,./mainpage/dataset/test_dir/0-1-patient36374_study4_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.74}""","""{\""0\"": 0.045000000000000005, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,11,"12/03/2020, 23:29:04",Henry
3,./mainpage/dataset/test_dir/0-1-patient07711_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.74}""","""{\""0\"": 0.04050000000000001, \""1\"": 0.05}""",1,1,0,1,2,1,2,5,3,4,53,"12/03/2020, 23:30:10",Henry
4,./mainpage/dataset/test_dir/0-1-patient20707_study4_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.74}""","""{\""0\"": 0.04050000000000001, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,33,"12/03/2020, 23:31:01",Henry
5,./mainpage/dataset/test_dir/0-1-patient48944_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.74}""","""{\""0\"": 0.03645000000000001, \""1\"": 0.05}""",1,1,1,1,4,0,3,3,3,3,21,"12/03/2020, 23:31:36",Henry
6,./mainpage/dataset/test_dir/0-1-patient17961_study3_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.76}""","""{\""0\"": 0.03280500000000001, \""1\"": 0.05}""",1,1,1,1,4,1,3,5,3,5,32,"12/03/2020, 23:32:23",Henry
7,./mainpage/dataset/test_dir/0-0-patient15534_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.76}""","""{\""0\"": 0.02952450000000001, \""1\"": 0.05}""",0,0,0,1,3,0,3,3,3,3,16,"12/03/2020, 23:32:53",Henry
8,./mainpage/dataset/test_dir/0-1-patient38308_study4_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.76}""","""{\""0\"": 0.02657205000000001, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,8,"12/03/2020, 23:33:17",Henry
9,./mainpage/dataset/test_dir/0-1-patient01006_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.76}""","""{\""0\"": 0.02391484500000001, \""1\"": 0.05}""",1,1,0,1,2,1,3,5,3,5,43,"12/03/2020, 23:34:15",Henry
10,./mainpage/dataset/test_dir/0-1-patient29059_study4_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.76}""","""{\""0\"": 0.02391484500000001, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,45,"12/03/2020, 23:35:17",Henry
11,./mainpage/dataset/test_dir/1-0-patient28621_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.715}""","""{\""0\"": 0.021523360500000012, \""1\"": 0.05}""",0,0,1,1,2,0,3,3,3,3,18,"12/03/2020, 23:35:48",Henry
12,./mainpage/dataset/test_dir/1-1-patient36076_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.715}""","""{\""0\"": 0.021523360500000012, \""1\"": 0.05}""",1,1,1,1,3,1,3,5,2,4,85,"12/03/2020, 23:37:30",Henry
13,./mainpage/dataset/test_dir/0-1-patient48615_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.715}""","""{\""0\"": 0.021523360500000012, \""1\"": 0.045000000000000005}""",1,1,0,1,2,0,3,3,3,3,18,"12/03/2020, 23:38:01",Henry
14,./mainpage/dataset/test_dir/0-1-patient19377_study4_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.715}""","""{\""0\"": 0.021523360500000012, \""1\"": 0.045000000000000005}""",0,1,0,1,3,0,3,3,3,3,27,"12/03/2020, 23:38:40",Henry
15,./mainpage/dataset/test_dir/0-0-patient49510_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.715}""","""{\""0\"": 0.022599528525000013, \""1\"": 0.045000000000000005}""",1,0,1,1,3,1,3,5,3,4,68,"12/03/2020, 23:39:59",Henry
