patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-1-patient02579_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",55.60000,0.55147,1,1,1,0,4,0,3,3,3,3,34,"05/17/2021, 22:36:34",Ronnie
2,./mainpage/dataset/test_dir/0-1-patient35707_study8_view2_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",95.80000,0.94619,1,1,1,0,4,0,3,3,3,3,14,"05/17/2021, 22:36:59",Ronnie
3,./mainpage/dataset/test_dir/0-1-patient48944_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",95.40000,0.88808,1,1,1,0,4,1,3,1,1,3,54,"05/17/2021, 22:38:01",Ronnie
4,./mainpage/dataset/test_dir/0-0-patient19503_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",100.00000,0.98522,0,0,0,0,4,0,3,3,3,3,12,"05/17/2021, 22:38:21",Ronnie
5,./mainpage/dataset/test_dir/0-1-patient52565_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",100.00000,0.96294,1,1,1,0,4,0,3,3,3,3,14,"05/17/2021, 22:38:42",Ronnie
6,./mainpage/dataset/test_dir/0-1-patient26792_study9_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",98.90000,0.97080,1,1,1,0,4,1,3,1,1,4,35,"05/17/2021, 22:39:25",Ronnie
7,./mainpage/dataset/test_dir/0-0-patient28534_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",81.00000,0.74402,1,0,1,0,5,0,3,3,3,3,13,"05/17/2021, 22:39:45",Ronnie
8,./mainpage/dataset/test_dir/0-0-patient26023_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",97.50000,0.97996,0,0,0,0,3,0,3,3,3,3,12,"05/17/2021, 22:40:05",Ronnie
9,./mainpage/dataset/test_dir/0-0-patient22632_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",76.30000,0.66432,0,0,0,0,3,1,2,1,1,3,31,"05/17/2021, 22:40:43",Ronnie
10,./mainpage/dataset/test_dir/0-1-patient07711_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",81.00000,0.83009,1,1,1,0,3,0,3,3,3,3,9,"05/17/2021, 22:40:59",Ronnie
11,./mainpage/dataset/test_dir/0-0-patient27612_study2_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",96.00000,0.92550,1,0,1,0,3,0,3,3,3,3,8,"05/17/2021, 22:41:14",Ronnie
12,./mainpage/dataset/test_dir/1-0-patient51560_study4_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",65.10000,0.63922,1,0,0,0,1,1,2,1,1,3,30,"05/17/2021, 22:41:54",Ronnie
13,./mainpage/dataset/test_dir/0-1-patient43059_study2_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",77.00000,0.76050,1,1,0,0,1,0,3,3,3,3,29,"05/17/2021, 22:42:33",Ronnie
14,./mainpage/dataset/test_dir/0-1-patient20889_study3_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",76.90000,0.77808,1,1,1,0,3,0,3,3,3,3,12,"05/17/2021, 22:42:52",Ronnie
15,./mainpage/dataset/test_dir/0-0-patient33763_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",61.30000,0.65128,1,0,0,0,1,1,2,1,1,2,35,"05/17/2021, 22:43:36",Ronnie
16,./mainpage/dataset/test_dir/1-1-patient31176_study3_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",73.70000,0.72483,1,1,1,0,3,0,3,3,3,3,28,"05/17/2021, 22:44:13",Ronnie
17,./mainpage/dataset/test_dir/1-1-patient37803_study10_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.76}""","""{\""0\"": 0.05, \""1\"": 0.05}""",100.00000,0.95155,1,1,1,0,3,0,3,3,3,3,10,"05/17/2021, 22:44:30",Ronnie
